Title,Country,Year,Policy Status,Policy Type,Policy Target
Regulating and Promoting Energy Efficiency,Turkey,2007,In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Institutional creation, Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology development, Regulatory Instruments ",Multiple RE Sources>Power
Strategic Plan 2010,Turkey,2010,Superseded ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>All, Multiple RE Sources"
Strategy Plan 2015-2019,Turkey,2015 (Jan 1st),In Force ,"Regulatory Instruments, Research, Development and Deployment (RD&D), Policy Support ","Multiple RE Sources, Multiple RE Sources>All"
Energy for Rural Transformation (ERT),Uganda,2002 (July 1st),Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Market-based instruments>GHG emissions trading, Information and Education>Professional training and qualification, Policy Support>Institutional creation, Regulatory Instruments>Auditing, Regulatory Instruments>Codes and standards>Product standards, Regulatory Instruments>Monitoring ","Solar Thermal, Bioenergy>Biomass for power, Multiple RE Sources>Power, Solar>Solar photovoltaic, Solar>Solar photovoltaic>Off-grid"
Energy for Rural Transformation Program Pase II and III,Uganda,2002,In Force ,"Economic Instruments>Direct investment>Infrastructure investments, Information and Education>Advice/Aid in Implementation, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Institutional creation, Policy Support>Strategic planning ","Solar Thermal, Bioenergy>Biomass for power, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Energy Policy for Uganda,Uganda,2002 (September),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All"
Global Energy Transfer Feed-in Tariff (GET FIT) Programme Uganda,Uganda,2013,In Force ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Loans ","Multiple RE Sources, Multiple RE Sources>Power, Hydropower, Bioenergy>Biomass for power, Bioenergy>Co-firing with fossil fuels, Geothermal>Power, Solar>Solar photovoltaic, Wind"
Hydro and CHP Feed-in-Tariff,Uganda,2000 (modifeid 2010),In Force ,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources>CHP, Hydropower"
Renewable Energy Policy 2007-2017,Uganda,2007,In Force ,"Regulatory Instruments, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Infrastructure investments ","Solar Thermal, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal, Geothermal>Power, Hydropower, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Corporate income tax exemptions in Ukraine available for renewable energy sector,Ukraine,2011,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Multiple RE Sources, Multiple RE Sources>All"
Law on Alternative Energy Sources,Ukraine,2003,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Law on Combined Heat and Power (cogeneration) and Waste Energy Potential,Ukraine,2005,In Force ,"Policy Support, Regulatory Instruments ",Multiple RE Sources>CHP
Law on Energy Savings,Ukraine,1994,In Force ,"Policy Support>Strategic planning, Policy Support, Research, Development and Deployment (RD&D) ","Multiple RE Sources, Multiple RE Sources>All"
"Law on simplification of procedures for land acquisition for the construction of the production of heat, electricity from renewable energy and biofuels",Ukraine,2016 (Feb 2nd),Planned ,Regulatory Instruments ,"Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Ukraine,2014 (Oct 1st),In Force ,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Tax relief ","Multiple RE Sources, Multiple RE Sources>All"
Programme for State Support of Non-traditional and Renewable Energy Sources,Ukraine,1997,Unknown ,Policy Support>Strategic planning ,Multiple RE Sources
VAT and Customs Duties Exemptions,Ukraine,2008,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Multiple RE Sources>All, Multiple RE Sources"
Overseas Renewable Energy Development Assistance Programme,United Arab Emirates,2013,In Force ,"Economic Instruments>Direct investment, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Voluntary Approaches, Economic Instruments>Fiscal/financial incentives>Loans ",Multiple RE Sources
Overseas Renewable Energy Investment Strategy,United Arab Emirates,2006,In Force ,"Economic Instruments>Direct investment, Research, Development and Deployment (RD&D) ",Multiple RE Sources
Renewable Energy Deployment Strategy,United Arab Emirates,2009 and 2011 (last updated 2015),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources
Renewable Energy Education and RD&D Strategy,United Arab Emirates,"2004, 2006, 2009",In Force ,"Information and Education, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D), Policy Support ",Multiple RE Sources
Solar water heating regulation,United Arab Emirates,2011,In Force ,Regulatory Instruments ,"Solar Thermal, Multiple RE Sources>Heating, Multiple RE Sources>Cooling"
Climate Change Act 2008,United Kingdom,2008,In Force ,"Policy Support, Policy Support>Institutional creation, Policy Support>Strategic planning, Regulatory Instruments>Obligation schemes , Economic Instruments>Market-based instruments>GHG emissions trading ","Multiple RE Sources, Bioenergy>Biofuels for transport"
Climate Change and Sustainable Energy Act,United Kingdom,2006,Ended ,Policy Support ,"Wind>Onshore, Multiple RE Sources, Multiple RE Sources>Power"
Climate Change Levy,United Kingdom,2001 (last updated 2015),In Force ,"Economic Instruments>Fiscal/financial incentives>Taxes, Regulatory Instruments ",Multiple RE Sources>Power
Contract for Difference (CfD),United Kingdom,2014 (October),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Solar, Wind, Wind>Offshore, Wind>Onshore, Ocean, Ocean>Tidal, Ocean>Wave, Multiple RE Sources>CHP, Bioenergy>Biomass for power, Geothermal, Hydropower"
Electricity Market Reform (EMR),United Kingdom,2013 (April 1st),In Force ,Regulatory Instruments ,"Multiple RE Sources, Multiple RE Sources>Power"
Energy Act 2008,United Kingdom,2008,Superseded ,"Policy Support>Institutional creation, Policy Support ","Wind, Bioenergy, Geothermal, Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>Power, Ocean, Solar"
Energy Technologies Institute,United Kingdom,2007,In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Policy Support, Policy Support>Institutional creation, Research, Development and Deployment (RD&D) ","Wind>Offshore, Multiple RE Sources, Ocean>Other, Ocean>Tidal, Ocean>Wave"
Energy Technology Programme,United Kingdom,2002,Superseded ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Energy White Paper 2003,United Kingdom,2003,Superseded ,Policy Support ,"Multiple RE Sources, Multiple RE Sources>All"
Energy White Paper 2011,United Kingdom,2011,Superseded ,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Institutional creation, Policy Support>Strategic planning, Policy Support ",Multiple RE Sources>All
Environmental Transformation Fund (ETF),United Kingdom,2007,Ended ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Feed-in Tariffs for renewable electricity for PV and non-PV technologies,United Kingdom,2010 (last updated 2015),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind>Onshore, Bioenergy, Hydropower, Multiple RE Sources>CHP, Solar>Solar photovoltaic"
Green Deal,United Kingdom,2013,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Direct investment ","Solar>Solar photovoltaic, Multiple RE Sources, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>Cooling, Multiple RE Sources>Renewable heat pumps , Solar Thermal"
Low Carbon Buildings Programme,United Kingdom,2006,Ended ,"Research, Development and Deployment (RD&D), Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Wind>Onshore, Bioenergy>Biomass for power, Geothermal>Heat, Hydropower, Multiple RE Sources>CHP, Solar>Solar photovoltaic, Solar Thermal"
Low Carbon Industrial Strategy (LCIS),United Kingdom,2009,Ended ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support, Policy Support>Strategic planning, Economic Instruments>Direct investment>Procurement rules, Economic Instruments>Direct investment>Infrastructure investments, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development ","Wind>Offshore, Bioenergy, Multiple RE Sources, Ocean>Tidal, Ocean>Wave"
Low Carbon Transition Plan,United Kingdom,2009,Ended ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support, Policy Support>Institutional creation, Policy Support>Strategic planning, Economic Instruments>Direct investment, Research, Development and Deployment (RD&D) ","Wind, Bioenergy>Biofuels for transport, Bioenergy, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources, Multiple RE Sources>Heating, Multiple RE Sources>Power, Ocean"
Microgeneration Strategy 2006,United Kingdom,2006,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources>Power
National Renewable Energy Action Plan (NREAP),United Kingdom,2010,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>Renewable heat pumps"
Non-Fossil Fuel Obligation,United Kingdom,1990,Superseded ,,"Multiple RE Sources, Multiple RE Sources>Power, Multiple RE Sources>All"
Planning and Energy Act 2008,United Kingdom,2008,In Force ,Regulatory Instruments ,Multiple RE Sources
Renewable Energy Guarantees of Origin (REGOs),United Kingdom,2003,In Force ,"Information and Education>Performance Label>Endorsement label, Regulatory Instruments>Monitoring, Regulatory Instruments>Codes and standards, Economic Instruments>Market-based instruments>GHG emissions trading ",Multiple RE Sources>All
Renewables Obligation (RO),United Kingdom,2002 (last amended 2015),In Force ,"Economic Instruments>Market-based instruments>Green certificates, Information and Education>Performance Label>Endorsement label, Economic Instruments>Fiscal/financial incentives, Policy Support>Strategic planning, Regulatory Instruments>Monitoring, Regulatory Instruments>Obligation schemes , Regulatory Instruments>Codes and standards ","Wind>Onshore, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>All, Multiple RE Sources>Power, Ocean>Tidal, Ocean>Wave, Solar>Solar photovoltaic, Wind, Wind>Offshore"
Renewables Obligation Plan,United Kingdom,2000,Superseded ,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Monitoring, Regulatory Instruments>Obligation schemes  ",Multiple RE Sources>All
Research Councils Energy Programme (RCEP),United Kingdom,2004,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ","Multiple RE Sources>All, Multiple RE Sources"
Scotland - Small business energy efficiency loans,United Kingdom,1999,In Force ,Economic Instruments>Fiscal/financial incentives>Loans ,Multiple RE Sources
Scottish Biomass Support Scheme,United Kingdom,2006,Superseded ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources>CHP, Bioenergy>Biomass for heat"
